"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2020년 05월 21일","22.85","22.85","22.85","22.85","0.00K","-8.05%"
"2020년 05월 20일","24.85","24.85","24.85","24.85","-","3.11%"
"2020년 05월 19일","24.10","25.00","25.00","24.10","0.03K","-10.91%"
"2020년 05월 18일","27.05","27.05","27.05","27.05","-","0.37%"
"2020년 05월 15일","26.95","26.95","26.95","26.95","-","-0.37%"
"2020년 05월 14일","27.05","27.00","27.05","27.00","0.01K","-3.74%"
"2020년 05월 13일","28.10","26.90","28.50","26.90","0.01K","-4.26%"
"2020년 05월 12일","29.35","29.35","29.35","29.35","-","0.00%"
"2020년 05월 11일","29.35","29.35","29.35","29.35","-","2.09%"
"2020년 05월 08일","28.75","28.75","28.75","28.75","-","-8.15%"
"2020년 05월 07일","31.30","31.30","31.30","31.30","-","-3.84%"
"2020년 05월 06일","32.55","33.90","33.90","32.55","0.03K","-10.45%"
"2020년 05월 04일","36.35","36.35","36.35","36.35","-","19.18%"
"2020년 04월 29일","30.50","30.50","30.50","30.50","-","-6.58%"
"2020년 04월 28일","32.65","32.65","32.65","32.65","-","-7.11%"
"2020년 04월 27일","35.15","35.15","35.15","35.15","-","0.72%"
"2020년 04월 24일","34.90","34.95","34.95","34.80","0.01K","3.25%"
"2020년 04월 23일","33.80","33.80","33.80","33.80","0.00K","-6.50%"
"2020년 04월 22일","36.15","35.90","36.15","35.90","0.03K","10.55%"
"2020년 04월 21일","32.70","32.70","32.70","32.70","0.01K","-1.80%"
"2020년 04월 20일","33.30","33.30","33.30","33.30","-","8.82%"
"2020년 04월 17일","30.60","29.95","30.60","29.95","0.03K","-8.11%"
"2020년 04월 16일","33.30","31.00","35.45","31.00","0.02K","-7.63%"
"2020년 04월 14일","36.05","35.70","37.00","35.70","0.01K","-9.19%"
"2020년 04월 13일","39.70","39.70","39.70","39.70","-","10.74%"
"2020년 04월 10일","35.85","35.85","35.85","35.85","-","6.38%"
"2020년 04월 09일","33.70","33.70","33.70","33.70","0.00K","-5.34%"
"2020년 04월 08일","35.60","36.20","39.50","31.60","0.04K","17.11%"
"2020년 04월 07일","30.40","34.60","37.25","30.40","0.05K","-17.62%"
"2020년 04월 06일","36.90","39.75","41.80","36.50","0.04K","-16.04%"
"2020년 04월 03일","43.95","36.65","43.95","36.65","0.04K","-3.93%"
"2020년 04월 02일","45.75","45.65","46.35","45.55","0.06K","17.31%"
"2020년 04월 01일","39.00","43.55","43.65","38.10","0.27K","-9.51%"
"2020년 03월 31일","43.10","44.15","44.25","43.10","0.00K","-2.49%"
"2020년 03월 30일","44.20","37.80","44.20","37.80","0.00K","6.76%"
"2020년 03월 27일","41.40","33.45","42.00","33.45","0.15K","5.08%"
"2020년 03월 26일","39.40","40.00","40.50","39.40","0.03K","3.14%"
"2020년 03월 25일","38.20","41.00","41.00","37.80","0.12K","-11.98%"
"2020년 03월 24일","43.40","52.00","52.00","43.40","0.09K","-16.54%"
"2020년 03월 23일","52.00","59.90","60.20","51.25","0.03K","6.12%"
"2020년 03월 20일","49.00","50.95","50.95","49.00","0.00K","-8.41%"
"2020년 03월 19일","53.50","56.95","64.80","53.05","0.01K","-2.55%"
"2020년 03월 18일","54.90","58.25","58.25","51.25","0.00K","9.80%"
"2020년 03월 17일","50.00","59.30","61.40","50.00","0.02K","-14.24%"
"2020년 03월 16일","58.30","57.30","61.15","56.85","0.04K","4.86%"
"2020년 03월 13일","55.60","55.40","63.20","50.20","0.19K","27.52%"
"2020년 03월 12일","43.60","39.85","48.00","36.05","0.19K","17.84%"
"2020년 03월 11일","37.00","30.00","37.00","30.00","0.07K","4.37%"
"2020년 03월 10일","35.45","35.10","35.45","35.10","0.01K","0.28%"
"2020년 03월 09일","35.35","30.10","35.55","30.10","0.03K","28.78%"
"2020년 03월 06일","27.45","27.45","27.45","27.45","-","21.46%"
"2020년 03월 05일","22.60","23.85","23.85","22.45","0.28K","-12.91%"
"2020년 03월 04일","25.95","28.20","28.20","25.95","0.08K","-13.07%"
"2020년 03월 03일","29.85","29.85","29.85","29.85","0.00K","0.51%"
"2020년 03월 02일","29.70","29.70","29.70","29.70","0.02K","1.54%"
"2020년 02월 28일","29.25","25.20","29.25","25.20","0.27K","27.45%"
"2020년 02월 27일","22.95","21.50","22.95","21.50","0.16K","7.24%"
"2020년 02월 26일","21.40","21.00","21.40","20.40","0.18K","8.35%"
"2020년 02월 25일","19.75","19.45","19.75","19.40","0.04K","-2.47%"
"2020년 02월 24일","20.25","20.50","21.05","20.20","0.11K","11.57%"
"2020년 02월 21일","18.15","18.00","18.15","17.95","0.05K","5.52%"
"2020년 02월 20일","17.20","17.10","17.50","17.10","0.04K","2.08%"
"2020년 02월 19일","16.85","16.80","16.85","16.80","0.02K","1.81%"
"2020년 02월 18일","16.55","16.40","16.65","16.40","0.03K","1.85%"
"2020년 02월 17일","16.25","16.15","17.25","16.15","0.16K","2.20%"
"2020년 02월 14일","15.90","15.85","15.90","15.85","0.02K","-0.31%"
"2020년 02월 13일","15.95","15.95","15.95","15.95","0.00K","-5.90%"
"2020년 02월 12일","16.95","16.95","16.95","16.95","-","-6.61%"
"2020년 02월 11일","18.15","17.75","18.25","17.75","0.02K","-0.27%"
"2020년 02월 10일","18.20","18.20","18.20","18.20","-","1.68%"
"2020년 02월 07일","17.90","17.80","17.90","17.80","0.01K","0.56%"
"2020년 02월 06일","17.80","17.80","17.80","17.80","-","2.01%"
